"Symbol: CLY00",,,,,,,"Study: VOL (LikeMain)",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1971-02-01,CLY00,3.56,3.56,3.56,3.56,0,,
1971-03-01,CLY00,3.56,3.56,3.56,3.56,0,,
1971-04-01,CLY00,3.56,3.56,3.56,3.56,0,,
1971-05-01,CLY00,3.56,3.92,3.56,3.92,0.3599999999999999,,
1971-06-01,CLY00,3.56,3.56,3.56,3.56,-0.3599999999999999,,
1971-07-01,CLY00,3.56,3.56,3.56,3.56,0,,
1971-08-01,CLY00,3.56,3.56,3.56,3.56,0,,
1971-09-01,CLY00,3.56,3.56,3.56,3.56,0,,
1971-10-01,CLY00,3.56,3.56,3.56,3.56,0,,
1971-11-01,CLY00,3.56,3.56,3.56,3.56,0,,
1971-12-01,CLY00,3.56,3.56,3.56,3.56,0,,
1972-01-01,CLY00,3.56,3.56,3.56,3.56,0,,
1972-02-01,CLY00,3.56,3.56,3.56,3.56,0,,
1972-03-01,CLY00,3.56,3.56,3.45,3.45,-0.10999999999999988,,
1972-04-01,CLY00,3.56,3.56,3.56,3.56,0.10999999999999988,,
1972-05-01,CLY00,3.56,3.56,3.56,3.56,0,,
1972-06-01,CLY00,3.56,3.56,3.56,3.56,0,,
1972-07-01,CLY00,3.56,3.56,3.56,3.56,0,,
1972-08-01,CLY00,3.56,3.56,3.56,3.56,0,,
1972-09-01,CLY00,3.56,3.56,3.56,3.56,0,,
1972-10-01,CLY00,3.56,3.56,3.56,3.56,0,,
1972-11-01,CLY00,3.56,3.56,3.56,3.56,0,,
1972-12-01,CLY00,3.56,3.56,3.56,3.56,0,,
1973-01-01,CLY00,3.56,3.56,3.56,3.56,0,,
1973-02-01,CLY00,3.56,3.56,3.56,3.56,0,,
1973-03-01,CLY00,3.56,3.56,3.56,3.56,0,,
1973-04-01,CLY00,3.56,3.56,3.56,3.56,0,,
1973-05-01,CLY00,3.56,3.56,3.56,3.56,0,,
1973-06-01,CLY00,3.56,3.56,3.56,3.56,0,,
1973-07-01,CLY00,3.56,3.56,3.56,3.56,0,,
1973-08-01,CLY00,4.31,4.31,4.31,4.31,0.7499999999999996,,
1973-09-01,CLY00,4.31,4.31,4.31,4.31,0,,
1973-10-01,CLY00,4.31,4.31,4.31,4.31,0,,
1973-11-01,CLY00,4.31,4.31,4.31,4.31,0,,
1973-12-01,CLY00,4.31,4.31,4.31,4.31,0,,
1974-01-01,CLY00,10.11,10.11,10.11,10.11,5.8,,
1974-02-01,CLY00,10.11,10.11,10.11,10.11,0,,
1974-03-01,CLY00,10.11,10.11,10.11,10.11,0,,
1974-04-01,CLY00,10.11,10.11,10.11,10.11,0,,
1974-05-01,CLY00,10.11,10.11,10.11,10.11,0,,
1974-06-01,CLY00,10.11,10.11,10.11,10.11,0,,
1974-07-01,CLY00,10.11,10.11,10.11,10.11,0,,
1974-08-01,CLY00,10.11,10.11,10.11,10.11,0,,
1974-09-01,CLY00,10.11,10.11,10.11,10.11,0,,
1974-10-01,CLY00,11.16,11.16,11.16,11.16,1.0500000000000007,,
1974-11-01,CLY00,11.16,11.16,11.16,11.16,0,,
1974-12-01,CLY00,11.16,11.16,11.16,11.16,0,,
1975-01-01,CLY00,11.16,11.16,11.16,11.16,0,,
1975-02-01,CLY00,11.16,11.16,11.16,11.16,0,,
1975-03-01,CLY00,11.16,11.16,11.16,11.16,0,,
1975-04-01,CLY00,11.16,11.16,11.16,11.16,0,,
1975-05-01,CLY00,11.16,11.16,11.16,11.16,0,,
1975-06-01,CLY00,11.16,11.16,11.16,11.16,0,,
1975-07-01,CLY00,11.16,11.16,11.16,11.16,0,,
1975-08-01,CLY00,11.16,11.16,11.16,11.16,0,,
1975-09-01,CLY00,11.16,11.16,11.16,11.16,0,,
1975-10-01,CLY00,11.16,11.16,11.16,11.16,0,,
1975-11-01,CLY00,11.16,11.16,11.16,11.16,0,,
1975-12-01,CLY00,11.16,11.16,11.16,11.16,0,,
1976-01-01,CLY00,11.16,11.16,11.16,11.16,0,,
1976-02-01,CLY00,12.03,12.03,12.03,12.03,0.8699999999999992,,
1976-03-01,CLY00,12.1,12.1,12.1,12.1,0.07000000000000028,,
1976-04-01,CLY00,12.17,12.17,12.17,12.17,0.07000000000000028,,
1976-05-01,CLY00,12.17,12.17,10.6,10.6,-1.5700000000000003,,
1976-06-01,CLY00,12.17,12.17,12.17,12.17,1.5700000000000003,,
1976-07-01,CLY00,12.17,12.17,12.17,12.17,0,,
1976-08-01,CLY00,12.17,12.17,12.17,12.17,0,,
1976-09-01,CLY00,13.9,13.9,13.9,13.9,1.7300000000000004,,
1976-10-01,CLY00,13.9,13.9,13.9,13.9,0,,
1976-11-01,CLY00,13.9,13.9,13.9,13.9,0,,
1976-12-01,CLY00,13.9,13.9,13.9,13.9,0,,
1977-01-01,CLY00,13.9,13.9,13.9,13.9,0,,
1977-02-01,CLY00,13.9,13.9,13.9,13.9,0,,
1977-03-01,CLY00,13.9,13.9,13.9,13.9,0,,
1977-04-01,CLY00,13.9,13.9,13.9,13.9,0,,
1977-05-01,CLY00,13.9,13.9,13.9,13.9,0,,
1977-06-01,CLY00,13.9,13.9,13.9,13.9,0,,
1977-07-01,CLY00,13.9,13.9,13.9,13.9,0,,
1977-08-01,CLY00,13.78,14.23,13.78,14.23,0.33000000000000007,,
1977-09-01,CLY00,14.5,14.97,14.5,14.97,0.7400000000000002,,
1977-10-01,CLY00,14.85,14.85,14.85,14.85,-0.120000000000001,,
1977-11-01,CLY00,14.85,14.85,14.85,14.85,0,,
1977-12-01,CLY00,14.85,14.85,14.85,14.85,0,,
1978-01-01,CLY00,14.85,14.85,14.85,14.85,0,,
1978-02-01,CLY00,14.85,14.85,14.85,14.85,0,,
1978-03-01,CLY00,14.85,14.85,14.85,14.85,0,,
1978-04-01,CLY00,14.85,14.85,14.85,14.85,0,,
1978-05-01,CLY00,14.85,14.85,14.85,14.85,0,,
1978-06-01,CLY00,14.85,14.85,14.85,14.85,0,,
1978-07-01,CLY00,14.85,14.85,14.85,14.85,0,,
1978-08-01,CLY00,14.85,14.85,14.85,14.85,0,,
1978-09-01,CLY00,14.85,14.85,14.85,14.85,0,,
1978-10-01,CLY00,14.85,14.85,14.85,14.85,0,,
1978-11-01,CLY00,14.85,14.85,14.85,14.85,0,,
1978-12-01,CLY00,14.72,15.14,14.72,15.14,0.2900000000000009,,
1979-01-01,CLY00,15.48,15.97,15.48,15.97,0.8300000000000001,,
1979-02-01,CLY00,15.85,15.85,15.85,15.85,-0.120000000000001,,
1979-03-01,CLY00,15.57,16.57,15.57,16.57,0.7200000000000006,,
1979-04-01,CLY00,17.23,18.74,17.23,18.74,2.169999999999998,,
1979-05-01,CLY00,18.12,21.02,18.12,21.02,2.280000000000001,,
1979-06-01,CLY00,22.09,25.64,22.09,25.64,4.620000000000001,,
1979-07-01,CLY00,25.45,27.67,25.45,27.67,2.030000000000001,,
