"Symbol: RBY00",,,,,,,"Study: VOL (LikeMain)",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1978-09-01,RBY00,0.485,0.485,0.485,0.485,0,,
1978-10-01,RBY00,0.472,0.49,0.472,0.49,0.0050000000000000044,,
1978-11-01,RBY00,0.49,0.57,0.49,0.55,0.06000000000000005,,
1978-12-01,RBY00,0.55,0.55,0.53,0.5375,-0.012500000000000067,,
1979-01-01,RBY00,0.5325,0.57,0.525,0.57,0.03249999999999997,,
1979-02-01,RBY00,0.67,0.6875,0.665,0.6875,0.11750000000000005,,
1979-03-01,RBY00,0.715,0.715,0.65,0.6825,-0.0050000000000000044,,
1979-04-01,RBY00,0.73,0.8625,0.73,0.8625,0.18000000000000005,,
1979-05-01,RBY00,0.8625,1.29,0.84,1.29,0.4275,,
1979-06-01,RBY00,1.29,1.29,0.97,1.06,-0.22999999999999998,,
1979-07-01,RBY00,0.96,0.96,0.78,0.7925,-0.26750000000000007,,
1979-08-01,RBY00,0.7725,0.8325,0.755,0.8325,0.040000000000000036,,
1979-09-01,RBY00,0.8325,0.9325,0.8325,0.9325,0.09999999999999998,,
1979-10-01,RBY00,0.9325,1.0775,0.9225,1.0775,0.1449999999999999,,
1979-11-01,RBY00,1.0775,1.21,1.0775,1.21,0.13250000000000006,,
1979-12-01,RBY00,1.21,1.23,1.17,1.18,-0.030000000000000027,,
1980-01-01,RBY00,1.15,1.175,0.925,0.96,-0.21999999999999997,,
1980-02-01,RBY00,1,1.01,0.94,0.945,-0.015000000000000013,,
1980-03-01,RBY00,0.945,0.9556,0.91,0.955,0.010000000000000009,,
1980-04-01,RBY00,0.97,0.985,0.97,0.985,0.030000000000000027,,
1980-05-01,RBY00,0.985,1.01,0.9425,0.9425,-0.04249999999999998,,
1980-06-01,RBY00,0.9425,0.9425,0.855,0.855,-0.08750000000000002,,
1980-07-01,RBY00,0.8525,0.89,0.8525,0.89,0.03500000000000003,,
1980-08-01,RBY00,0.8825,0.8825,0.85,0.86,-0.030000000000000027,,
1980-09-01,RBY00,0.86,0.94,0.86,0.915,0.05500000000000005,,
1980-10-01,RBY00,0.915,0.925,0.905,0.925,0.010000000000000009,,
1980-11-01,RBY00,0.925,0.985,0.925,0.9575,0.03249999999999997,,
1980-12-01,RBY00,0.9575,0.9725,0.91,0.9725,0.015000000000000013,,
1981-01-01,RBY00,0.975,1.035,0.975,1.025,0.05249999999999988,,
1981-02-01,RBY00,1.025,1.04,1.012,1.025,0,,
1981-03-01,RBY00,1.025,1.0375,0.98,0.98,-0.04499999999999993,,
1981-04-01,RBY00,0.98,1.02,0.98,0.9975,0.01750000000000007,,
1981-05-01,RBY00,0.9925,1.035,0.9925,1.02,0.022499999999999964,,
1981-06-01,RBY00,1.02,1.0425,1.015,1.04,0.020000000000000018,,
1981-07-01,RBY00,1.04,1.07,1.04,1.06,0.020000000000000018,,
1981-08-01,RBY00,1.06,1.06,1.03,1.03,-0.030000000000000027,,
1981-09-01,RBY00,1.02,1.02,1.015,1.0175,-0.012499999999999956,,
1981-10-01,RBY00,1.0175,1.075,1.01,1.02,0.0024999999999999467,,
1981-11-01,RBY00,1.02,1.025,1.0025,1.0025,-0.01750000000000007,,
1981-12-01,RBY00,0.99,0.99,0.955,0.955,-0.04749999999999999,,
1982-01-01,RBY00,0.955,0.955,0.915,0.915,-0.039999999999999925,,
1982-02-01,RBY00,0.915,0.92,0.9,0.9,-0.015000000000000013,,
1982-03-01,RBY00,0.9,0.9,0.84,0.87,-0.030000000000000027,,
1982-04-01,RBY00,0.87,0.955,0.87,0.9525,0.08250000000000002,,
1982-05-01,RBY00,0.9525,1.035,0.9525,1.035,0.0824999999999999,,
1982-06-01,RBY00,1.03,1.04,0.94,0.96,-0.07499999999999996,,
1982-07-01,RBY00,0.96,0.99,0.94,0.985,0.025000000000000022,,
1982-08-01,RBY00,0.985,1.025,0.97,0.995,0.010000000000000009,,
1982-09-01,RBY00,0.995,1.005,0.95,0.95,-0.04500000000000004,,
1982-10-01,RBY00,0.95,0.96,0.945,0.9475,-0.0024999999999999467,,
1982-11-01,RBY00,0.9475,0.9525,0.87,0.8725,-0.07499999999999996,,
1982-12-01,RBY00,0.8625,0.8895,0.8325,0.8325,-0.040000000000000036,,
1983-01-01,RBY00,0.835,0.89,0.83,0.85,0.01749999999999996,,
1983-02-01,RBY00,0.8225,0.85,0.7825,0.7975,-0.05249999999999999,,
1983-03-01,RBY00,0.7925,0.9225,0.7825,0.9175,0.12,,
1983-04-01,RBY00,0.8925,0.9275,0.8925,0.91,-0.007499999999999951,,
1983-05-01,RBY00,0.905,0.905,0.86,0.8775,-0.032500000000000084,,
1983-06-01,RBY00,0.8725,0.9175,0.8725,0.9075,0.030000000000000027,,
1983-07-01,RBY00,0.91,0.91,0.8875,0.8875,-0.020000000000000018,,
1983-08-01,RBY00,0.8975,0.8975,0.885,0.8875,0,,
1983-09-01,RBY00,0.885,0.885,0.8525,0.8525,-0.03499999999999992,,
1983-10-01,RBY00,0.8375,0.8675,0.8225,0.85,-0.0025000000000000577,,
1983-11-01,RBY00,0.845,0.855,0.785,0.785,-0.06499999999999995,,
1983-12-01,RBY00,0.7875,0.799,0.7475,0.76,-0.025000000000000022,,
1984-01-01,RBY00,0.7575,0.825,0.7575,0.805,0.04500000000000004,,
1984-02-01,RBY00,0.805,0.8275,0.805,0.8275,0.022499999999999964,,
1984-03-01,RBY00,0.825,0.84,0.8225,0.84,0.012499999999999956,,
1984-04-01,RBY00,0.85,0.8575,0.82,0.82,-0.020000000000000018,,
1984-05-01,RBY00,0.82,0.83,0.79,0.79,-0.029999999999999916,,
1984-06-01,RBY00,0.801,0.8025,0.75,0.775,-0.015000000000000013,,
1984-07-01,RBY00,0.7875,0.7875,0.725,0.725,-0.050000000000000044,,
1984-08-01,RBY00,0.7425,0.7875,0.7425,0.785,0.06000000000000005,,
1984-09-01,RBY00,0.7825,0.845,0.7825,0.8,0.015000000000000013,,
1984-10-01,RBY00,0.82,0.83,0.7375,0.7575,-0.04250000000000009,,
1984-11-01,RBY00,0.76,0.76,0.705,0.71,-0.04749999999999999,,
1984-12-01,RBY00,0.7135,0.72,0.6525,0.6575,-0.05249999999999999,,
1985-01-01,RBY00,0.665,0.751,0.6575,0.75,0.09250000000000003,,
1985-02-01,RBY00,0.735,0.8025,0.722,0.775,0.025000000000000022,,
1985-03-01,RBY00,0.78,0.8375,0.77,0.83,0.05499999999999994,,
1985-04-01,RBY00,0.83,0.8725,0.8275,0.8525,0.022500000000000075,,
1985-05-01,RBY00,0.83,0.84,0.8185,0.83,-0.022500000000000075,,
1985-06-01,RBY00,0.82,0.87,0.82,0.865,0.03500000000000003,,
1985-07-01,RBY00,0.85,0.9,0.775,0.775,-0.08999999999999997,,
1985-08-01,RBY00,0.756,0.795,0.7335,0.77,-0.0050000000000000044,,
1985-09-01,RBY00,0.765,0.816,0.7625,0.816,0.04599999999999993,,
1985-10-01,RBY00,0.8225,0.86,0.785,0.83,0.014000000000000012,,
1985-11-01,RBY00,0.8275,0.8275,0.79,0.79,-0.039999999999999925,,
1985-12-01,RBY00,0.77,0.7735,0.675,0.7125,-0.07750000000000001,,
1986-01-01,RBY00,0.6975,0.726,0.595,0.595,-0.11750000000000005,,
1986-02-01,RBY00,0.535,0.535,0.4025,0.4025,-0.19249999999999995,,
1986-03-01,RBY00,0.3925,0.4425,0.37,0.37,-0.03250000000000003,,
1986-04-01,RBY00,0.383,0.5675,0.383,0.5575,0.1875,,
1986-05-01,RBY00,0.59,0.59,0.485,0.485,-0.07250000000000001,,
1986-06-01,RBY00,0.4675,0.4675,0.3925,0.3925,-0.09249999999999997,,
1986-07-01,RBY00,0.3825,0.3825,0.305,0.31,-0.08250000000000002,,
1986-08-01,RBY00,0.315,0.4525,0.315,0.4475,0.1375,,
1986-09-01,RBY00,0.4575,0.46,0.395,0.4,-0.04749999999999999,,
1986-10-01,RBY00,0.415,0.4265,0.371,0.406,0.006000000000000005,,
1986-11-01,RBY00,0.395,0.42,0.395,0.4125,0.00649999999999995,,
1986-12-01,RBY00,0.4175,0.4675,0.4085,0.4625,0.050000000000000044,,
1987-01-01,RBY00,0.4795,0.515,0.47,0.488,0.025499999999999967,,
1987-02-01,RBY00,0.495,0.5075,0.435,0.4475,-0.04049999999999998,,
1987-03-01,RBY00,0.46,0.5315,0.46,0.52,0.07250000000000001,,
1987-04-01,RBY00,0.525,0.525,0.4875,0.51,-0.010000000000000009,,
1987-05-01,RBY00,0.515,0.5675,0.515,0.5675,0.057499999999999996,,
1987-06-01,RBY00,0.55,0.5675,0.5455,0.555,-0.012499999999999956,,
1987-07-01,RBY00,0.55,0.58,0.5435,0.5435,-0.011500000000000066,,
1987-08-01,RBY00,0.5535,0.556,0.4925,0.505,-0.03849999999999998,,
1987-09-01,RBY00,0.498,0.5325,0.4955,0.5175,0.012499999999999956,,
1987-10-01,RBY00,0.515,0.5685,0.515,0.552,0.034500000000000086,,
1987-11-01,RBY00,0.525,0.5285,0.501,0.51,-0.04200000000000004,,
1987-12-01,RBY00,0.5175,0.5175,0.413,0.436,-0.07400000000000001,,
1988-01-01,RBY00,0.4625,0.4655,0.4375,0.4515,0.015500000000000014,,
1988-02-01,RBY00,0.45,0.4725,0.4475,0.455,0.003500000000000003,,
1988-03-01,RBY00,0.45,0.4835,0.427,0.4835,0.02849999999999997,,
1988-04-01,RBY00,0.486,0.53,0.48,0.51,0.026500000000000024,,
1988-05-01,RBY00,0.4975,0.5375,0.4975,0.5265,0.01649999999999996,,
1988-06-01,RBY00,0.5325,0.5385,0.4975,0.5325,0.006000000000000005,,
1988-07-01,RBY00,0.5285,0.59,0.5125,0.5125,-0.020000000000000018,,
1988-08-01,RBY00,0.524,0.524,0.4685,0.4685,-0.04399999999999993,,
1988-09-01,RBY00,0.4725,0.49,0.445,0.48,0.011499999999999955,,
1988-10-01,RBY00,0.47,0.582,0.445,0.5275,0.04749999999999999,,
1988-11-01,RBY00,0.5075,0.5735,0.4795,0.51,-0.01749999999999996,,
1988-12-01,RBY00,0.51,0.51,0.4535,0.485,-0.025000000000000022,,
1989-01-01,RBY00,0.486,0.5295,0.4785,0.4785,-0.006500000000000006,,
1989-02-01,RBY00,0.5,0.51,0.4675,0.51,0.03150000000000003,,
1989-03-01,RBY00,0.506,0.6525,0.506,0.6525,0.14249999999999996,,
1989-04-01,RBY00,0.666,0.7575,0.6375,0.7025,0.050000000000000044,,
1989-05-01,RBY00,0.756,0.756,0.6325,0.6775,-0.025000000000000022,,
1989-06-01,RBY00,0.6635,0.6955,0.599,0.61,-0.0675,,
1989-07-01,RBY00,0.6,0.6,0.5125,0.535,-0.07499999999999996,,
1989-08-01,RBY00,0.5235,0.551,0.5075,0.551,0.016000000000000014,,
1989-09-01,RBY00,0.5485,0.6375,0.5485,0.601,0.04999999999999993,,
1989-10-01,RBY00,0.5875,0.5885,0.5225,0.5225,-0.07850000000000001,,
1989-11-01,RBY00,0.525,0.525,0.4885,0.4975,-0.024999999999999967,,
1989-12-01,RBY00,0.5095,0.635,0.5035,0.635,0.1375,,
1990-01-01,RBY00,0.666,0.6925,0.6025,0.6175,-0.01749999999999996,,
1990-02-01,RBY00,0.62,0.636,0.5535,0.5535,-0.06400000000000006,,
1990-03-01,RBY00,0.541,0.65,0.5225,0.65,0.09650000000000003,,
1990-04-01,RBY00,0.656,0.656,0.5885,0.5985,-0.05149999999999999,,
1990-05-01,RBY00,0.611,0.671,0.5985,0.645,0.046499999999999986,,
1990-06-01,RBY00,0.641,0.681,0.616,0.6385,-0.006500000000000061,,
1990-07-01,RBY00,0.636,0.695,0.615,0.6685,0.030000000000000027,,
1990-08-01,RBY00,0.6765,1.1075,0.6765,0.9685,0.30000000000000004,,
1990-09-01,RBY00,1.0425,1.055,0.9035,1.0175,0.049000000000000044,,
1990-10-01,RBY00,0.97,1.0135,0.825,0.991,-0.02650000000000008,,
1990-11-01,RBY00,1.0115,1.0115,0.7835,0.7835,-0.20750000000000002,,
1990-12-01,RBY00,0.7515,0.774,0.6435,0.7035,-0.07999999999999996,,
1991-01-01,RBY00,0.671,0.842,0.5875,0.7035,0,,
1991-02-01,RBY00,0.661,0.7025,0.6175,0.7025,-0.0010000000000000009,,
1991-03-01,RBY00,0.6985,0.796,0.6985,0.71,0.007499999999999951,,
1991-04-01,RBY00,0.6975,0.7475,0.6975,0.7,-0.010000000000000009,,
1991-05-01,RBY00,0.732,0.7535,0.666,0.666,-0.03399999999999992,,
1991-06-01,RBY00,0.668,0.6695,0.612,0.6355,-0.030500000000000083,,
1991-07-01,RBY00,0.638,0.6875,0.6315,0.6875,0.052000000000000046,,
1991-08-01,RBY00,0.688,0.752,0.654,0.654,-0.033499999999999974,,
1991-09-01,RBY00,0.646,0.646,0.608,0.6185,-0.035499999999999976,,
1991-10-01,RBY00,0.615,0.678,0.615,0.673,0.05449999999999999,,
1991-11-01,RBY00,0.682,0.703,0.6225,0.626,-0.04700000000000004,,
1991-12-01,RBY00,0.6145,0.6145,0.53,0.5525,-0.07350000000000001,,
1992-01-01,RBY00,0.557,0.563,0.495,0.5535,0.0010000000000000009,,
1992-02-01,RBY00,0.567,0.5845,0.516,0.544,-0.009499999999999953,,
