"Symbol: ZCY00",,,,,,,"Study: VOL (LikeMain)",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1971-02-01,ZCY00,156.5,160,155.5,157,0,13646,72173
1971-03-01,ZCY00,156.5,158,152,152,-5,15845,61893
1971-04-01,ZCY00,152.75,155,146.25,149,-3,15265,53894
1971-05-01,ZCY00,149.75,155,148.5,155,6,17052,45821
1971-06-01,ZCY00,154,163.75,151.75,153.5,-1.5,28895,51193
1971-07-01,ZCY00,155.25,156.75,136,137.5,-16,25303,48688
1971-08-01,ZCY00,135.5,135.5,121,122,-15.5,19766,44058
1971-09-01,ZCY00,120.75,122.5,112,112,-10,11129,41848
1971-10-01,ZCY00,111,112.25,106.25,106.25,-5.75,11692,43935
1971-11-01,ZCY00,104.25,114,102.5,113.5,7.25,12057,51575
1971-12-01,ZCY00,115.5,126,115.5,122.25,8.75,10834,51727
1972-01-01,ZCY00,120.75,123,120.5,122,-0.25,7589,48454
1972-02-01,ZCY00,122,122.5,120,120.25,-1.75,8828,47150
1972-03-01,ZCY00,120,124.5,120,123.5,3.25,9547,47847
1972-04-01,ZCY00,124,130.25,124,130.25,6.75,10276,50535
1972-05-01,ZCY00,130.25,130.25,127.25,128.25,-2,8635,43983
1972-06-01,ZCY00,128,128.5,120.75,121.5,-6.75,10618,39310
1972-07-01,ZCY00,125.75,130,125.5,129,7.5,15069,41319
1972-08-01,ZCY00,129,131.75,128,131.5,2.5,17047,50161
1972-09-01,ZCY00,133.75,145.25,133.75,140,8.5,28171,53538
1972-10-01,ZCY00,136,136,128.5,135,-5,15699,63122
1972-11-01,ZCY00,135,141.75,127,141.25,6.25,19792,65332
1972-12-01,ZCY00,147,165.5,147,156.25,15,37254,80415
1973-01-01,ZCY00,154,162.25,154,159.5,3.25,27241,94408
1973-02-01,ZCY00,160.5,168,153,158.5,-1,30722,96741
1973-03-01,ZCY00,160,165,156,157,-1.5,23407,87007
1973-04-01,ZCY00,159.25,172.25,159.25,172.25,15.25,23140,87320
1973-05-01,ZCY00,185,236.25,176.75,236.25,64,51124,89221
1973-06-01,ZCY00,242,260.5,222.75,222.75,-13.5,46836,80417
1973-07-01,ZCY00,231.25,291.25,220,291.25,68.5,42754,79211
1973-08-01,ZCY00,275,340,246,246,-45.25,34721,78371
1973-09-01,ZCY00,241.5,261,230.5,256.5,10.5,27089,67333
1973-10-01,ZCY00,251.5,258.5,221.625,233.5,-23,25791,67264
1973-11-01,ZCY00,233,278.5,230.5,261.75,28.25,31806,73674
1973-12-01,ZCY00,260,276.25,260,266.5,4.75,25319,67323
1974-01-01,ZCY00,269.5,302.25,269.5,302,35.5,30927,78674
1974-02-01,ZCY00,303.75,333,300.5,313.25,11.25,38557,80776
1974-03-01,ZCY00,321,321,278.75,283,-30.25,38698,80232
1974-04-01,ZCY00,270,288.25,254,281,-2,34902,74582
1974-05-01,ZCY00,276.25,279,253.5,275,-6,37017,68033
1974-06-01,ZCY00,271.5,310.25,271.5,302.25,27.25,40910,70887
1974-07-01,ZCY00,311.25,386.5,306.5,386.5,84.25,40083,70721
1974-08-01,ZCY00,376.5,387,343,352.5,-34,40243,75997
1974-09-01,ZCY00,342,396.5,332.5,396.5,44,40775,74922
1974-10-01,ZCY00,387.5,396,352.75,370,-26.5,38528,80912
1974-11-01,ZCY00,363,366,331.5,359.25,-10.75,36088,84051
1974-12-01,ZCY00,357.25,365,333.75,341.75,-17.5,32880,81044
1975-01-01,ZCY00,343.75,347.75,287.25,305.25,-36.5,38264,80800
1975-02-01,ZCY00,302.75,313,263.25,263.25,-42,34205,79907
1975-03-01,ZCY00,268.5,308.5,268.5,306.75,43.5,37035,72095
1975-04-01,ZCY00,311,311,288.5,297.5,-9.25,36355,75174
1975-05-01,ZCY00,287.75,292.5,279,285.75,-11.75,35101,74191
1975-06-01,ZCY00,285,298.5,283.25,283.25,-2.5,38956,79437
1975-07-01,ZCY00,281.5,318.75,281.5,297.5,14.25,48189,78980
1975-08-01,ZCY00,300.25,326.5,300.25,308.75,11.25,47178,84571
1975-09-01,ZCY00,302.5,320.75,291.75,294,-14.75,37675,88787
1975-10-01,ZCY00,291.25,292,254.25,256.75,-37.25,38645,98787
1975-11-01,ZCY00,252.75,275.25,251.75,268.25,11.5,38807,100902
1975-12-01,ZCY00,268.75,277,247.75,255.5,-12.75,30026,88862
1976-01-01,ZCY00,255.75,268.75,253.25,263,7.5,29039,86741
1976-02-01,ZCY00,266,273.5,266,273.5,10.5,28873,83762
1976-03-01,ZCY00,274,275,265.5,267.75,-5.75,24415,76864
1976-04-01,ZCY00,267.25,273.5,267.25,272.5,4.75,31003,80527
1976-05-01,ZCY00,275.25,296.25,275.25,292.75,20.25,41066,88241
1976-06-01,ZCY00,293.75,309.5,286.75,286.75,-6,53353,90378
1976-07-01,ZCY00,295.75,313.75,288.5,291.25,4.5,44269,91880
1976-08-01,ZCY00,287.25,292.25,278.5,279.75,-11.5,32635,95559
1976-09-01,ZCY00,284.5,297.25,258.75,258.75,-21,42348,102520
1976-10-01,ZCY00,258.75,270.5,230.75,232.25,-26.5,39854,108847
1976-11-01,ZCY00,232.75,244.25,223.25,242.75,10.5,46984,105828
1976-12-01,ZCY00,244,254,240.75,251.75,9,25655,92174
1977-01-01,ZCY00,251,262.75,251,258.5,6.75,33271,103951
1977-02-01,ZCY00,257.75,261.5,253.25,254.75,-3.75,33418,108916
1977-03-01,ZCY00,254.25,261,249.5,249.75,-5,29122,103585
1977-04-01,ZCY00,252.25,260.5,246.25,247.75,-2,40787,104446
1977-05-01,ZCY00,247.75,249,238.75,246.5,-1.25,34354,85011
1977-06-01,ZCY00,246.25,247,216.75,216.75,-29.75,44312,85988
1977-07-01,ZCY00,214,223.25,184.25,184.25,-32.5,45222,87564
1977-08-01,ZCY00,186,191.25,172.25,175.5,-8.75,33837,90792
1977-09-01,ZCY00,177,189.25,177,181,5.5,38497,99871
1977-10-01,ZCY00,183.75,206,179.25,206,25,43439,121318
1977-11-01,ZCY00,210.25,222.25,210.25,221.5,15.5,64506,139472
1977-12-01,ZCY00,220,224.5,220,220.25,-1.25,35642,136843
1978-01-01,ZCY00,219.75,224.25,217.75,222.25,2,33053,127801
1978-02-01,ZCY00,222.25,224,221.75,222.5,0.25,33658,140908
1978-03-01,ZCY00,223.75,251.25,223.75,251.25,28.75,61915,146943
1978-04-01,ZCY00,254.75,260.75,247.5,252.75,1.5,65107,144555
1978-05-01,ZCY00,250.75,270.25,249.5,264.5,11.75,57438,140448
1978-06-01,ZCY00,260.5,260.5,241.75,243,-21.5,56627,133428
1978-07-01,ZCY00,244.25,244.25,221.75,222.25,-20.75,49901,110487
1978-08-01,ZCY00,219.5,225.25,209.5,215.25,-7,45959,114139
1978-09-01,ZCY00,214,221.25,212,221.25,6,39771,114110
1978-10-01,ZCY00,224.5,234.25,219.5,231.25,10,49621,140100
1978-11-01,ZCY00,229.75,236,228.25,233.25,2,54467,147236
1978-12-01,ZCY00,234,234,227,228.75,-4.5,34309,130630
1979-01-01,ZCY00,227.75,235,225.5,234.5,5.75,31265,127928
1979-02-01,ZCY00,233.75,242.25,233.75,239.75,5.25,47603,143372
1979-03-01,ZCY00,240.5,253.5,240.5,253.5,13.75,49790,146173
1979-04-01,ZCY00,254,261.5,251.75,261.5,8,66041,162832
