"Symbol: ZLY00",,,,,,,"Study: VOL (LikeMain)",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1971-02-01,ZLY00,12.21,12.38,11.63,12.27,0,10842,36146
1971-03-01,ZLY00,12.09,12.41,11.92,11.96,-0.3099999999999987,9637,34050
1971-04-01,ZLY00,11.62,11.67,10.79,11.09,-0.870000000000001,11005,30758
1971-05-01,ZLY00,11.04,11.92,11.04,11.9,0.8100000000000005,10536,26737
1971-06-01,ZLY00,11.81,14.03,11.67,13.41,1.5099999999999998,11507,28263
1971-07-01,ZLY00,13.7,15.38,13.58,14.85,1.4399999999999995,13591,30796
1971-08-01,ZLY00,15.17,15.34,13.37,13.37,-1.4800000000000004,13646,30464
1971-09-01,ZLY00,13.74,13.88,12.22,12.37,-1,12343,28941
1971-10-01,ZLY00,12.52,13.88,12.4,13.11,0.7400000000000002,13344,30797
1971-11-01,ZLY00,12.74,13.03,11.99,12.13,-0.9799999999999986,10903,32627
1971-12-01,ZLY00,12.19,12.19,11.44,11.47,-0.6600000000000001,9576,32562
1972-01-01,ZLY00,11.07,11.22,10.61,11.22,-0.25,9781,29971
1972-02-01,ZLY00,11.26,11.34,10.77,11.19,-0.030000000000001137,8770,29714
1972-03-01,ZLY00,11.33,12,11.33,11.92,0.7300000000000004,9726,30062
1972-04-01,ZLY00,11.88,12.39,11.22,11.22,-0.6999999999999993,10677,32029
1972-05-01,ZLY00,11.14,11.79,11.14,11.55,0.33000000000000007,7435,31326
1972-06-01,ZLY00,11.42,11.42,9.89,10.27,-1.2800000000000011,8611,32068
1972-07-01,ZLY00,10.43,10.75,9.78,9.78,-0.4900000000000002,7590,30704
1972-08-01,ZLY00,9.85,10.61,9.83,9.97,0.19000000000000128,7809,28947
1972-09-01,ZLY00,10.04,10.36,9.54,9.96,-0.009999999999999787,8285,27931
1972-10-01,ZLY00,9.61,10.11,9.09,9.92,-0.040000000000000924,8957,28589
1972-11-01,ZLY00,10.02,10.08,9.33,9.54,-0.3800000000000008,7713,29005
1972-12-01,ZLY00,9.71,10.07,9.3,9.54,0,10624,34333
1973-01-01,ZLY00,9.35,10.71,9.35,10.41,0.870000000000001,10909,37238
1973-02-01,ZLY00,10.68,14.48,10.68,13.11,2.6999999999999993,25825,49267
1973-03-01,ZLY00,13.7,14.49,13.25,14.42,1.3100000000000005,19102,49280
1973-04-01,ZLY00,15.42,15.99,14.3,15.99,1.5700000000000003,19284,48225
1973-05-01,ZLY00,16.36,19.37,15.94,19.3,3.3100000000000005,18093,47278
1973-06-01,ZLY00,19.28,20.35,17.77,18.72,-0.5800000000000018,13694,39208
1973-07-01,ZLY00,19.42,29.15,18.9,29.15,10.43,11746,33058
1973-08-01,ZLY00,30.37,39.35,25.67,25.67,-3.479999999999997,8653,31981
1973-09-01,ZLY00,24.67,25.95,23.02,25.75,0.0799999999999983,9306,30665
1973-10-01,ZLY00,24.67,31.15,18.85,19.35,-6.399999999999999,9785,25148
1973-11-01,ZLY00,19.33,23.2,19.02,23.2,3.849999999999998,11090,26492
1973-12-01,ZLY00,23.58,28.43,23.58,25.68,2.4800000000000004,9921,25160
1974-01-01,ZLY00,26.13,33.2,25.75,32.72,7.039999999999999,13905,27798
1974-02-01,ZLY00,33.47,39.52,33.22,35.9,3.1799999999999997,14058,29973
1974-03-01,ZLY00,36.85,36.85,27.9,29.35,-6.549999999999997,14329,31319
1974-04-01,ZLY00,28.1,32.77,25.1,31.15,1.7999999999999972,15083,30931
1974-05-01,ZLY00,29.72,30.85,27.53,30.85,-0.29999999999999716,14833,32337
1974-06-01,ZLY00,30.03,34.1,28.9,33.47,2.6199999999999974,15374,34356
1974-07-01,ZLY00,35.32,49.42,35.32,49.42,15.950000000000003,10375,32204
1974-08-01,ZLY00,48.05,48.18,37.63,37.63,-11.79,11001,29517
1974-09-01,ZLY00,36.63,50.37,34.88,50.37,12.739999999999995,10368,27232
1974-10-01,ZLY00,48.3,49.6,37.45,38,-12.369999999999997,11796,26061
1974-11-01,ZLY00,38.93,44.13,37.9,40.55,2.549999999999997,10775,25798
1974-12-01,ZLY00,38.73,41.15,35.25,37.13,-3.4199999999999946,11958,29298
1975-01-01,ZLY00,37.22,38.25,29.75,31.85,-5.280000000000001,13009,28698
1975-02-01,ZLY00,31,31.95,25.6,25.6,-6.25,10990,25914
1975-03-01,ZLY00,26.4,32.75,26.4,32.75,7.149999999999999,12172,25469
1975-04-01,ZLY00,31.97,31.97,25.5,26.05,-6.699999999999999,11320,24847
1975-05-01,ZLY00,25.65,25.65,22.55,22.93,-3.120000000000001,11052,25273
1975-06-01,ZLY00,22.05,25.5,22.05,24.08,1.1499999999999986,11280,28931
1975-07-01,ZLY00,23.47,31.87,23.47,29.58,5.5,13153,29509
