"Symbol: ZSY00",,,,,,,"Study: BBANDS (20, 2, 0, ...)",,,"Study: BBANDS (20, 2, 0, ...)",,,"Study: MA (20, Close, 0)","Study: MA (55, Close, 0)","Study: MA (200, Close, 0)","Study: TCHRE (100, Long, 5, ...)","Study: VOL (LikeMain)",,"Study: DOSC (14, 5, 3, ...)",
"Date Time","Symbol","Open","High","Low","Close","Change","Bollinger-Upper","Bollinger-Mid","Bollinger-Lower","Bollinger-Upper","Bollinger-Mid","Bollinger-Lower","MA-Simple","MA-Simple","MA-Simple","TurtleChnRetrace","Volume","Open Interest","Derivative Oscillator","Derivative Oscillator Signal"
1971-02-01,ZSY00,306.25,308.25,304.625,305.875,0,,,,,,,,,,,17595,60235,,
1971-03-01,ZSY00,304.625,307,298.625,299.625,-6.25,,,,,,,,,,,15677,55550,,
1971-04-01,ZSY00,295.625,296,287.625,292.625,-7,,,,,,,,,,,17737,51940,,
1971-05-01,ZSY00,293.25,313.25,293.25,312.875,20.25,,,,,,,,,,,20757,47813,,
1971-06-01,ZSY00,311,340,311,322.875,10,,,,,,,,,,,25249,54903,,
1971-07-01,ZSY00,326.25,350,326.25,331.625,8.75,,,,,,,,,,,29457,58571,,
1971-08-01,ZSY00,333.625,338.625,315.625,315.625,-16,,,,,,,,,,,25181,57303,,
1971-09-01,ZSY00,321.375,327,303.875,307,-8.625,,,,,,,,,,,26290,51172,,
1971-10-01,ZSY00,308,318.5,301,313.25,6.25,,,,,,,,,,,33257,60211,,
1971-11-01,ZSY00,308.625,312.875,287.25,296.25,-17,,,,,,,,,,,32004,67389,,
1971-12-01,ZSY00,299.625,313.625,299.625,309.25,13,,,,,,,,,,,23375,66549,,
1972-01-01,ZSY00,305.25,315.875,301.625,311.625,2.375,,,,,,,,,,,27441,53794,,
1972-02-01,ZSY00,311.875,329.875,311.875,329.875,18.25,,,,,,,,,,,27424,57379,,
1972-03-01,ZSY00,328,342,328,339,9.125,,,,,,,,,,,38848,65854,,
1972-04-01,ZSY00,337.625,355.875,337.625,344,5,,,,,,,,,,,41210,69621,,
1972-05-01,ZSY00,345.625,357.625,344.25,347.25,3.25,,,,,,,,,,,31360,67292,,
1972-06-01,ZSY00,348.625,352.875,341.625,348.625,1.375,,,,,,,,,,,27486,62360,,
1972-07-01,ZSY00,354.875,358.875,346,352.875,4.25,,,,,,,,,,,27931,58086,,
1972-08-01,ZSY00,352,367.875,345.875,345.875,-7,,,,,,,,,,,28885,61306,,
1972-09-01,ZSY00,349.625,363,340.875,363,17.125,365.29455288040253,324.45,283.60544711959744,365.29455288040253,324.45,283.60544711959744,324.45,,,,22963,60847,,
1972-10-01,ZSY00,344.25,351.25,326.625,348.625,-14.375,367.7928622117316,326.5875,285.3821377882684,367.7928622117316,326.5875,285.3821377882684,326.5875,,,,28476,67569,,
